id,name,composition,group,class,color,mohs,fracture,cleavage,tenacity
71,Pectolite,NaCa2Si3O8(OH),Silicate,Inosilicate,Multiple,4.5,Irregular,Perfect,Brittle
72,Phenakite,Be2SiO4,Silicate,Nesosilicate,Multiple,7.5,Conchoidal,Distinct,Brittle
73,Pollucite,"(Cs,Na)2Al2Si4O12+H2O",Silicate,Tectosilicate,Colorless,6.5,Sub-Conchoidal,None,Very brittle
74,Pyrite,FeS2,Non-silicate,Sulfide,Yellow,6,Conchoidal,Poor,Brittle
75,Quartz,SiO2,Silicate,Tectosilicate,Multiple,7,Conchoidal,Poor,Brittle
76,Rhodonite,"(Mn,Fe,Mg,Ca)SiO3",Silicate,Inosilicate,Red,5.5,Conchoidal,Perfect,Brittle
77,Rosasite,"(Cu,Zn)2(CO3)(OH)2",Non-silicate,Carbonate,Blue,4.5,Splintery,Distinct,Brittle
78,Sanidine,"(K,Na)(Si,Al)4O8",Silicate,Tectosilicate,White,6,Conchoidal,Perfect,Brittle
79,Topaz,"Al2SiO4(F,OH)2",Silicate,Nesosilicate,Multiple,8,Sub-Conchoidal,Perfect,Brittle
80,Turquoise,CuAl6(PO4)4(OH)8+4H2O,Non-silicate,Phosphate,Blue,5,Sub-Conchoidal,Perfect,Brittle
81,Tridymite,SiO2,Silicate,Tectosilicate,Multiple,6.5,Conchoidal,Poor,Brittle
82,Uvarovite,Ca3Cr2(SiO4)3,Silicate,Nesosilicate,Green,6.5,Conchoidal,None,Brittle
83,Vesuvianite,Ca10Mg2Al4(SiO4)5(Si2O7)2(OH)4,Silicate,Sorosilicate,Multiple,6.5,Sub-Conchoidal,Poor,Brittle
84,Villiaumite,NaF,Non-silicate,Halide,Multiple,2,Conchoidal,Perfect,Brittle
85,Vivianite,Fe3(PO4)2+8H2O,Non-silicate,Phosphate,Multiple,1.5,Fibrous,Perfect,Sectile
86,Wavellite,"Al3(PO4)2(OH,F)3+5H2O",Non-silicate,Phosphate,Multiple,3.5,Sub-Conchoidal,Perfect,Brittle
87,Weloganite,Sr3Na2Zr(CO3)6+3H2O,Non-silicate,Carbonate,Multiple,3.5,Conchoidal,Perfect,Brittle
88,Willemite,Zn2SiO4,Silicate,Nesosilicate,Multiple,5.5,Sub-Conchoidal,Distinct,Brittle
89,Xenotime,YPO4,Non-silicate,Phosphate,Brown,4.5,Irregular,Good,Brittle
90,Yavapaiite,KFe(SO4)2,Non-silicate,Sulfate,Pink,2.5,Sub-Conchoidal,Perfect,Very brittle
91,Zoisite,Ca2Al3(SiO4)3(OH),Silicate,Sorosilicate,Multiple,6,Conchoidal,Perfect,Brittle
92,Zincite,"(Zn,Mn)O",Non-silicate,Oxide,Multiple,4,Conchoidal,Perfect,Brittle
